z	dL [Mpc]	sigma_dL [Mpc] (CF approx)	sigma_dL [Mpc] (CF approx, gaussian prior)	sigma_dL [Mpc]=2dL/SNR	SNR_GW
0.225217054165911978	1119.47196061224418	175.249111711484119	126.687331254569969	146.924266176242172	15.238761979173514
0.247882624462468115	1247.73328856500439	121.779085927466667	90.9127014762383396	131.609917157264549	18.9610831085631837
0.271308999632768888	1382.98392765761946	164.043267283204102	96.9268961271155973	116.249208964561941	23.7934337786197929
0.251490373872947259	1268.38657111600651	156.89266674166484	96.103283533100452	146.378423481584885	17.3302395386923358
0.126631296145511385	593.111111408046554	80.2553056187063021	46.8375467517620905	32.8185263406953636	36.1448960413912133
0.19544539430514174	955.000865463069204	59.0430631403905224	43.669414272134901	32.73799096301063423	58.3420568807711533
0.268129843004520474	1364.47206834061785	108.30605168979514	89.9935797109405371	66.7489580950913115	40.8836963835982488
0.446718672388225713	2474.92429596473403	298.77821881694166	227.990267473606451	334.916938248288846	14.779331907841355
0.349020831866023951	1850.21929802208479	167.412052169224154	122.992465590747443	141.871668445840416	26.0829990693794791
0.292542693089762551	1507.8682092692452	201.857921390846769	149.786870622143766	178.770722789044261	16.8692970050647801
0.30629952443041164	1589.91408461070819	211.032305606351798	128.086153077825173	242.13871653407684	13.132258296966361
0.164914940329166093	791.219248062521956	87.403990897681922	55.5753742375756588	92.8742234968793454	17.0385111879639588
0.347037198529926094	1837.95226218621906	191.651262164422946	155.019837638689211	148.193789677988029	24.8047136952219986
0.226708382921339435	1127.831249141527	104.505702869555606	86.6737270943600464	63.8366139084264496	35.3349333584453476
0.310114152523508935	1612.82024802505475	173.789034265500533	133.749703110306058	200.940334921411532	16.0527277776842006
0.426989551408850421	2345.63528023487834	359.249438498192148	235.232981553096067	271.363758778436527	17.2877564107596697
0.449592083850343549	2493.8812713945199	475.917171990589452	272.832222673015849	360.198459572828112	13.8472622806444008
0.361340672699146825	1926.79151805495553	249.39093791289568	137.998848588768368	277.642588118781704	13.8796539184444647
0.368079868489045836	1968.95605094808388	191.213575647356578	130.7995525764901	207.083444357007718	19.0160643412289687
0.300724979038593965	1556.56108709319778	80.3670369440697954	75.887170821877703	185.870163483521083	16.7489074945716041
0.429957658143237609	2364.98788277020822	360.956093261099738	250.454044567965298	321.918641086921416	14.693078193826226
0.221717290319648264	1099.89955680565004	55.1447688239327078	52.5097215581379828	168.50777788911522	13.0545850237183405
0.302037523227593585	1564.40116249846119	149.280267907793473	109.631169318794008	121.404309770461538	25.7717566280186574
0.386891709747119172	2087.67854963562468	221.903321734877721	140.881469989008622	245.999087272077889	16.9730593132374317
0.465474590776880248	2599.23698743970317	305.494772975603155	235.807301941589685	324.734627450343734	16.0083758720012774
0.41802594078686317	2287.40414382516246	251.053657404697873	171.732132517360156	348.867251795676745	13.1133210815949024
0.395430803459692726	2142.05978813228285	288.414366608399234	208.884000321070573	318.745194139145157	13.4405777876430488
0.287072147240363229	1475.48847085787088	109.536846100894166	98.6435864564219287	212.934301756649151	13.8586264278277262
0.271998555942706943	1387.00558469383714	114.656794519038101	78.0777708348068273	95.261698807458918	29.1199002759173062
0.377392969945709922	2027.54429443567983	304.836437845582736	201.488396842786813	227.847279875363748	17.7973974106232937
0.3321025168400209	1746.15282769467876	181.789954919730292	126.000650471041766	191.924462053662583	18.1962508479659029
0.130590251544919766	613.213227947190262	62.0409133369130359	43.8087541344763878	57.1335099273456562	21.4659743021910749
0.413078118508142911	2255.39936385301962	255.60073069121205	187.066115331213069	335.775948521241529	13.4339542411289816
0.246661720266425188	1240.75862222649539	116.727777006840299	90.5760808162135334	91.365879922937988	27.1602183062868967
0.367608201446451233	1965.99866400923202	374.508055890331661	174.636389206836611	247.910899180367875	15.8605262657602424
0.536755954569395621	3083.58947420357617	358.368971073229943	267.972853852615458	410.421312334289073	15.0264588194288784
0.324841545560795808	1701.88144616299792	181.812338491475771	138.861884879776738	193.242306555941694	17.6139632826243506
0.354485809374956773	1884.1045413071995	377.221755287318672	171.132940026880504	236.459494807247902	15.9359601342550814
0.285463779551851538	1465.99559576758611	146.920633835206019	105.164527596074208	127.508168631494406	22.9945361383770432
0.437540690647319153	2414.58889150801724	251.842958190340028	183.378893264231522	298.470618638680475	16.1797425992609725
0.267265434869267793	1359.44718885393127	62.39563101993852	59.1221687135024112	152.485448147010218	17.8305170148865244
0.359338132162365209	1914.30012765421156	166.559048567868444	109.206332272747133	147.902633292965929	25.8859505748266265
0.358225848964509819	1907.36945681883049	297.599122938856397	186.93201780979561	185.436781418800148	20.5716410975784498
0.0895845785921758342	409.427650515523908	11.5168604258209619	10.2574831669604496	18.35053912374600813	44.6229560618974261
0.430806622920987703	2370.52971656339742	243.011078880656385	169.230365354201581	318.421525967254119	14.8892554255718146
0.50752078852112259	2882.71525474638156	393.304493704388051	296.618445041542543	415.523664413736714	13.8750954596706837
0.0703900934985410842	317.47738183979385	34.888345639764772	24.5352405629016381	15.59365531867505273	40.7187891936512258
0.335958590904602339	1769.7601256399671	336.176166204979609	156.058969164154519	263.991939945003653	13.4076830225093531
0.133559835256261472	628.350609083557401	27.9353292909924846	25.1239721006273094	26.48652500904383451	47.446813718976486
0.304827529432173616	1581.0929990664963	239.77909235354366	151.065041690135587	159.921898784881168	19.7733144876337725
0.107511335637992644	497.303745463243445	18.209553831140898	17.07997100978832	47.5456543863976541	20.9189988814421355
0.322101292904914072	1685.23548638272223	168.96740982397759	129.580696035255528	182.302278891297773	18.4883644530585976
0.332556944221089168	1748.9314245295202	190.016392787605838	128.513852610427733	253.264028011141749	13.811131713127299
0.24558833834351157	1234.63283912198199	193.729551859453551	101.783559102491694	116.167908735265497	21.2560052524588521
0.305694821070719325	1586.28912168899569	222.742094708360639	165.425808594264708	184.150956253118114	17.2281388483111506
0.219029928546773611	1084.9131778001572	110.692852341328802	90.2899118875588442	60.7769955322249314	35.7014415832687533
0.173921753406234281	839.011940196514843	45.240793161608913	42.9549774009330179	121.191314913037096	13.8460737190377419
0.326745972184578903	1713.47009077649909	307.594984899972246	148.532729694150874	266.380823067390012	12.8648156503594784
0.183509594641193985	890.372524336749507	93.7241246305184745	74.4118908579418559	54.8742853247489532	32.4513574643378888
0.341054833201106966	1801.06151350812115	366.88489037791885	165.859713534132339	228.461180405185952	15.7668931790850362
0.357284252534467051	1901.50653277788115	180.533890373484951	120.111404312667616	183.267232745370167	20.7511894438851172
0.346259672076597802	1833.14865914424081	362.503236556088723	180.080712465120797	266.019487466007098	13.782062935359102
0.328478967642926278	1724.02977308727941	184.529640241572935	115.112868879431716	240.026060131999973	14.3653549297036012
0.205818433398252676	1011.78110574010623	190.593109017595964	89.6237460983108463	98.324647779747639	20.580416580927885
0.188634744285204548	918.030272451762471	48.2913800026105733	44.799019570691101	98.0039110264449208	18.7345640155941418
0.0718510718021376782	324.397251171724236	7.77001718970270527	6.17470986290394475	17.5557144161746954	36.9563144491397821
0.161755042140628635	774.557388146559333	58.6948401896871204	50.9988309999547838	26.63173524312392699	58.1680000251987366
0.347762463808463984	1842.43538890893638	212.061424027587265	166.178368705146738	218.179427942529819	16.8891760903713468
0.329702806675884918	1731.49515025780488	403.287355447141522	171.399093353714306	233.116470726386808	14.8551935850992987
0.410702101819081289	2240.06538182602617	227.001105155371334	164.043026006222988	247.869781648187182	18.0745338696061992
0.22395224185737872	1112.39126672739781	110.569670027657551	89.2711149986791668	71.4882021418405396	31.120974745463311
0.393292557514467234	2128.41391681596042	283.01967917243752	215.179135559092487	330.769777206986577	12.8694582364098995
0.288806213245050181	1485.73696990391477	158.742804122220377	127.953166576595223	102.34896619243962	29.032769458763017
0.0487099107013762023	216.341092396954622	5.11116961927880542	3.88829423242342598	12.51820280677479414	34.5642414867846384
0.273904455820908499	1398.13318113363539	191.675892695909368	144.445213650011937	201.960754773550793	13.8455927509411136
0.417876499607973795	2286.43604443801723	318.738144864983951	237.722159358182182	339.392826184447409	13.47368516973558
0.30662770530223149	1591.88211033716675	199.851320421323606	146.971344392337812	138.01678290626648	23.0679498074996694
0.201776114872518342	989.586774949223127	93.9160481241369354	70.1986181028787968	83.1244625322386754	23.80976056393569
0.241320839499366446	1210.33515760014711	127.723732236339416	101.551612486096644	69.6802130668884056	34.7397088593373056
0.175423453146271946	847.023432449989628	86.7152145387415203	55.1629507290656278	56.9910098012901154	29.7248087164377779
0.274847823368900013	1403.64750738491307	96.016268065572902	84.9627833947542115	166.782888795935837	16.8320325606342074
0.157388199274973939	751.622163968252721	28.488003890499872	26.4163184631955303	58.4158274965740631	25.733510802781435
0.334878095926478103	1763.13852090429918	202.13172819334585	132.166600671277138	263.327544125677188	13.3912198722577518
0.329482611300526251	1730.15146904059657	125.89767917803168	114.193767701552801	253.167893437374835	13.6680164735705514
0.289398342499013861	1489.23976907283327	153.21425048778184	119.215781987665181	152.566236974345924	19.5225339315834283
0.446557475317386654	2473.86176641924976	262.824615063618808	167.580007257916549	304.592931308260929	16.2437240798316296
0.362318236027000751	1932.89562855645909	199.566057170795688	145.194719964275038	248.213387198403348	15.5744671983501508
0.286327072332448918	1471.08937962224058	235.65411284962255	156.578530289533347	199.78019527375755	14.7270792042866514
0.399981242048268459	2171.1627212403655	453.189742229105889	221.371099708850295	320.932226326726589	13.5303502928995538
0.286232086981372369	1470.52875372025051	240.450176544328144	172.256435818013983	187.628176356719427	15.6749245478405701
0.284703424389466164	1461.51211669831514	125.517042211681854	92.4633521538157055	101.121670793565039	28.9060120393366695
0.263482210758788416	1337.49771730915972	202.63777446194544	143.287484080543777	181.541415497760022	14.7349045796733105
0.48652759416295055	2740.36168460918179	308.344650245793673	219.262950718176086	410.188350278997246	13.36147983113257
0.350721157539598316	1860.7480625444266	287.109155372198927	180.839962175628585	204.864777083532238	18.1656221145884835
0.531794492540335062	3049.28750117905429	400.842904718857483	299.806466260935679	437.180941509745083	13.9497732478856626
0.355465016111076171	1890.18981989265535	399.658779253495595	180.292713840374148	258.586093284689274	14.6194236192868949
0.114079107945596281	529.973846213304569	34.7046823404155092	33.095321025968488	48.0673808404328352	22.051288709598527
0.502027192646679277	2845.3086742319224	299.321268404223531	211.485181761557556	366.01821362285347	15.5473611330377075
0.373042584218703066	2000.13028469483902	273.092046777882388	198.027108516171637	230.54240796685893	17.3515172530197823
0.21898247761837375	1084.6488961814116	120.360125265524985	92.7976180683224356	102.723852536257323	21.1177612482665573
0.351666099568674451	1866.60480878095586	173.559750451272777	124.643985170555766	189.189228392441703	19.7326753181633947
0.250269804108565808	1261.39194868412687	58.6927429427932878	56.2497615106251487	174.851199462110259	14.4281761013308554
0.295410241547405583	1524.89732690009009	149.539659169674024	109.268491698375371	157.837499148216365	19.322370604315573
0.405936801575315087	2209.3809480536429	250.126370359403978	191.751311527906182	274.704913261315085	16.085485489310873
0.152272203484236979	724.886908816237792	42.9231977570992171	33.3299321069516594	23.56520664953847213	61.5217952124714174
0.307569550273565362	1597.53290449992392	291.77062875178575	164.804801264451129	222.363269756141648	14.3686761419894999
0.235120248419252942	1175.19392980738553	157.774527127050135	113.673978982063218	93.110111958501792	25.2430999187533409
0.173281952842354148	835.602361783618107	84.3257565247205889	54.1028280741800458	77.2097442217309454	21.6449975377184316
0.333145813287553771	1752.53344047802489	186.84874442102867	150.844968501355112	147.338206949575541	23.7892597821256935
0.208126786683576537	1024.49350485844388	55.9369313118649174	53.7312758562451336	130.896256259581795	15.6535188115198594
